REGON;;NSK;s_osoba_us;s_typ;s_nrj;s_ad1;s_ad2;s_pkd;s_lps;s_waga;s_a4;s_a5a;s_a5b;s_a5d;s_a5e;s_a5f;s_a5g;s_a5h;s_a6;s_a7a;s_a7b;s_a7c;w_a4_1;w_request;w_a5a;w_a5b;w_a5d;w_a5e;w_a5f;w_a5g;w_a5h;w_a6;w_a7a;w_a7b;w_a7c
05061021900000;;PAWE£ FILUTOWSKI                                                        ;Ewelina Buler                                     ;ZT;7996   ;ul. Edmunda Jana OsmaÒczyka 28 m 37                           ;Warszawa                     ;5610 ;14;0;2;0;0;0;0;0;0;0;2;1;2;1;https://www.ksiegowoscdlabiznesu.pl;1.0;1;1;2;2;2;2;2;2;2;2;2
02228449200000;;VIKINGCO POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                 ;Marcelina Jeøak                                   ;ZT;442    ;ul. Tadeusza Koúciuszki 29                                    ;Wroc≥aw                      ;6120 ;39;0;2;0;0;0;0;0;0;0;1;1;2;2;https://www.bmcconsulting.pl;21.0;;;;;;;;;;;
05082936600000;;"""ARTUR"" ARTUR I ADAM £UKASZEWICZ SP”£KA JAWNA                           ";Aneta Witkowska                                   ;ZT;12143  ;ul. Kmicica 14                                                ;Bia≥ystok                    ;4711 ;30;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.naszemarkety.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
06011927200000;;PPHU VENTUS ROBERT GRZYB                                                ;Katarzyna Kalinowska                              ;ZT;2585   ;ul. Aleja SpÛ≥dzielczoúci Pracy 34                            ;Lublin                       ;5610 ;255;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gutowskiaccount.pl;21.0;;;;;;;;;;;
02109378400000;;"""B2B IT"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                        ";Marcelina Jeøak                                   ;ZT;272    ;ul. Europejska 4                                              ;Magnice                      ;5210 ;287;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.ab.pl;1.0;1;1;2;1;2;1;2;2;2;2;1
01254260200000;;"""INTERGRAPH POLSKA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•             ";Ewelina Buler                                     ;ZT;7432   ;ul. Stawki 40                                                 ;Warszawa                     ;6201 ;172;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.hexagon.com/;1.0;2;2;2;1;2;2;2;2;2;2;2
02077012000000;;"""SCHAVEMAKER INTERMODAL"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•        ";Marcelina Jeøak                                   ;ZT;225    ;ul. ks. Jerzego Popie≥uszki 28                                ;Kπty Wroc≥awskie             ;4941 ;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.schavemaker.com;2.0;;;;;;;;;;;
01548024400000;;A.B.Z. BIURO HANDLOWE £•CKI ANDRZEJ £•CKA BEATA                         ;Ewelina Buler                                     ;ZT;7652   ;UL. W£ADYS£AWA REYMONTA 46                                    ;PIAST”W                      ;4690Z;13;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.abzbiuro.pl;1.0;1;2;2;2;2;2;2;2;1;1;1
02182928000000;;"""DOMUS"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                         ";Marcelina Jeøak                                   ;ZT;368    ;ul. Jana Ewangelisty Purkyniego 1                             ;Wroc≥aw                      ;6832 ;18;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.zarzadca.wroclaw.pl;1.0;1;2;2;1;2;2;2;2;2;2;2
01262207000000;;BOGDAN SKWARA KAMIENIARSTWO-BETONIARSTWO                                ;Ewelina Buler                                     ;ZT;7445   ;ul. Graniczna 98                                              ;Marki                        ;2369Z;11;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.sklodowscy.pl;1.0;1;2;2;1;2;1;2;2;1;2;1
02113661900000;;SMARTBEAR SOFTWARE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•              ;Marcelina Jeøak                                   ;ZT;279    ;ul. KleciÒska 123                                             ;Wroc≥aw                      ;6201 ;97;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.ecmpartner.pl;1.0;1;1;2;2;1;1;2;2;1;1;1
02213155800000;;HOTEL SERVICE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                   ;Marcelina Jeøak                                   ;ZT;420    ;ul. Zdrojowa 22                                               ;D≥ugopole-ZdrÛj              ;8121Z;12;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.hotel-service.com.pl;1.0;1;2;2;2;2;1;2;2;2;2;1
01587633800000;;"""VHM HOTEL MANAGEMENT"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•          ";Ewelina Buler                                     ;ZT;7759   ;ul. Mangalia 1A                                               ;Warszawa                     ;5510 ;75;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.satoriagroup.pl;1.0;1;2;2;1;2;1;2;2;2;2;2
05000894200000;;Tadeusz Szeliga                                                         ;Eløbieta Zborowska                                ;ZT;12022  ;ul. Transportowa 3 m 63                                       ;Bia≥ystok                    ;2223 ;19;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.pbszeliga.pl;1.0;1;2;2;1;2;1;2;2;1;2;2
02164365800000;;KONVEYOR POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                 ;Magdalena Adamczyk                                ;ZT;17304  ;ul. MetalowcÛw 12-14                                          ;Kalisz                       ;2751 ;177;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.konveyor.com;1.0;2;2;2;2;2;2;2;2;2;2;2
02096740700000;;MAX POWER SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                       ;Eløbieta Zborowska                                ;ZT;12018  ;ul. Elizy Orzeszkowej 32 m 109                                ;Bia≥ystok                    ;7820 ;153;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.max-power.com.pl;1.0;1;1;2;1;2;1;2;2;1;2;2
01566558700000;;£UKASZ FALKOWSKI                                                        ;Eløbieta Zborowska                                ;ZT;12016  ;ul. Miko≥aja Kopernika 101                                    ;Bia≥ystok                    ;5610 ;116;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gutowskiaccount.pl;21.0;;;;;;;;;;;
01293814500000;;"""POMATICS"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                      ";Ewelina Buler                                     ;ZT;7514   ;ul. Wierzbowa 10                                              ;Øuromin                      ;2016 ;53;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.pomatics.com.pl;1.0;1;2;2;1;2;2;2;2;2;2;2
02193871500000;;COTRU SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                           ;Marcelina Jeøak                                   ;ZT;387    ;ul. Tadeusza Koúciuszki 43 m 5                                ;Strzelin                     ;4941 ;34;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.cotru.eu;1.0;2;1;2;2;2;2;2;2;2;2;2
01744390000000;;INTERZERO ADVISORY SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•              ;Ewelina Buler                                     ;ZT;7970   ;ul. Wiertnicza 165                                            ;Warszawa                     ;7022Z;19;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.psr.pl;1.0;1;1;2;1;1;2;2;2;1;2;2
01735873100000;;LOCKHEED MARTIN GLOBAL, INC. (SP”£KA AKCYJNA) ODDZIA£ W POLSCE          ;Ewelina Buler                                     ;ZT;7943   ;ul. Nowogrodzka 21                                            ;Warszawa                     ;7022 ;71;0;2;0;0;0;0;0;0;0;2;2;1;1;https://www.lmco.com;2.0;;;;;;;;;;;
02177959900000;;"""FELGENHAUER STEELWORKS"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA ";Katarzyna Kalinowska                              ;ZT;3266   ;ul. Tarnopolska 12                                            ;JasieÒ                       ;2822 ;173;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.felgenhauer.pl/;1.0;1;1;2;2;2;1;2;2;2;2;2
06052318000000;;TRANSPORTO, MARCIN PASIK                                                ;Ewelina Buler                                     ;ZT;8004   ;ul. Kana≥owa 12 m 2                                           ;Stoczek £ukowski             ;4941 ;15;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.transporto.com.pl;1.0;1;2;2;2;2;1;2;2;2;2;2
02209343800000;;DIRKS POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                    ;Marcelina Jeøak                                   ;ZT;413    ;ul. Wroc≥awska 36                                             ;ØÛrawina                     ;5221 ;143;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.dirks-group.de;1.0;1;1;2;1;2;2;2;2;2;2;2
02215869800000;;EZT SERWIS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                      ;Eløbieta BurliÒska                                ;ZT;13971  ;ul. Modrzewiowa 7                                             ;Sosnowiec                    ;8121Z;240;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.ezt.pl;2.0;;;;;;;;;;;
02134689000000;;POLSKA SIE∆ HANDLOWA LIVIO PLUS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• ;Eløbieta BurliÒska                                ;ZT;13970  ;ul. PszczyÒska 186                                            ;JastrzÍbie-ZdrÛj             ;4711 ;66;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.livioplus.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
01738284700000;;BLOOMBERG POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                ;Ewelina Buler                                     ;ZT;7952   ;ul. Emilii Plater 53                                          ;Warszawa                     ;6391 ;12;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.tmf-group.com;1.0;2;2;2;1;2;2;2;2;1;2;2
02027746000000;;ALEKTUM SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                         ;Marcelina Jeøak                                   ;ZT;146    ;pl. gen. JÛzefa Bema 2                                        ;Wroc≥aw                      ;8291 ;89;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.alektumgroup.com;1.0;2;2;2;2;2;2;2;2;2;2;2
06134154100000;;MEDIKI PHARMA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                   ;Katarzyna Kalinowska                              ;ZT;2679   ;ul. Aleja SpÛ≥dzielczoúci Pracy 78                            ;Lublin                       ;4773 ;22;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.bssce.com;1.0;1;2;2;1;2;1;2;2;1;2;2
02044100700000;;PATRYCJA STECKER STRANDED                                               ;Marcelina Jeøak                                   ;ZT;172    ;ul. Kuziennicza 14A                                           ;Jawor                        ;1413 ;12;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.alfasystem.legnica.pl;1.0;1;1;2;1;2;2;2;2;1;1;1
02132959000000;;"Anna TopÛr ""ANA""                                                        ";Marcelina Jeøak                                   ;ZT;307    ;LAS”W 56 m 1                                                  ;PIE—SK                       ;1512 ;13;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.bdr-mastalerz.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
05003703300000;;"""ORTHDRUK"" - SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                    ";Eløbieta Zborowska                                ;ZT;12041  ;ul. Sk≥adowa 9                                                ;Bia≥ystok                    ;1812 ;75;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.b1.pl;2.0;;;;;;;;;;;
06166069000000;;TRIMETIS SERVICES SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•               ;Katarzyna Kalinowska                              ;ZT;2726   ;ul. £uøyczan 10                                               ;Lublin                       ;6201 ;15;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.trimetis.com;1.0;2;1;2;2;2;2;2;2;1;1;2
02174992500000;;PJK SECURITY SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                    ;Paulina Ciesielska                                ;ZT;10519  ;ul. JÛzefa Cygana 2                                           ;Opole                        ;8010 ;39;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.pjksecurity.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
01724866900000;;DARIUSZ PASKOWSKI  PPHU SOZAKO                                          ;Ewelina Buler                                     ;ZT;7909   ;UL. WIKTORSKA 82 m 12                                         ;WARSZAWA                     ;2562 ;15;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.cbe.waw.pl;1.0;1;1;1;1;2;1;2;2;1;1;1
02015973600000;;LG CHEM POLAND SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                  ;Marcelina Jeøak                                   ;ZT;124    ;ul. LG 3                                                      ;Kobierzyce                   ;2016 ;316;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.lgchem.com;1.0;2;2;2;1;2;2;2;2;1;1;2
03080498500000;;"""KROPKA"" S≥awomir Kropiwiec                                             ";Mirela ZieliÒska                                  ;ZT;2553   ;ul. Podleúna 8                                                ;Zalesie                      ;4671 ;12;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.kropka.info.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
05051989000000;;"1. PRZEDSI BIORSTWO US£UGOWE ""SEDAB"" Leszek Domaniewski 2. ZAK£AD ROB”T ";Eløbieta Zborowska                                ;ZT;12113  ;ul. OlsztyÒska 1 m 23                                         ;Bia≥ystok                    ;8129 ;19;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.lectus.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
02058918700000;;"""FEM POLAND"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                    ";Eløbieta Zborowska                                ;ZT;11082  ;ul. 20-go Czerwca 16                                          ;Brzostek                     ;3299 ;20;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.biuroidea.pl;1.0;2;1;2;1;1;2;2;2;1;1;1
01589079800000;;SMITH & NEPHEW SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                  ;Ewelina Buler                                     ;ZT;7763   ;ul. OsmaÒska 12                                               ;Warszawa                     ;4646 ;85;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.smith-nephew.com;1.0;2;2;2;1;2;2;2;2;2;2;2
02134134800000;;"""TRAIN POLSKA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                  ";Marcelina Jeøak                                   ;ZT;308    ;ul. KwidzyÒska 4 BUD. 23                                      ;Wroc≥aw                      ;3312 ;17;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.exkol.pl;1.0;1;2;2;1;2;1;2;2;1;1;1
02195731600000;;MEDORA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                          ;Marcelina Jeøak                                   ;ZT;391    ;ul. Wroc≥awska 17                                             ;Niemcza                      ;1419Z;14;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.medora.pl;1.0;1;1;2;2;2;2;2;2;2;2;2
05197124400000;;"""STEKOP - OCHRONA"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•              ";Ewelina Buler                                     ;ZT;7998   ;ul. Mo≥dawska 9                                               ;Warszawa                     ;8010 ;696;0;2;0;0;0;0;0;0;0;1;1;2;2;https://www.stekopochrona.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
02168553300000;;KIK TEXTIL SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                      ;Marcelina Jeøak                                   ;ZT;340    ;ul. Legnicka 21A                                              ;Wroc≥aw                      ;4719 ;2839;0;2;0;0;0;0;0;0;0;2;1;2;1;https://www.firma.kik.pl/;21.0;;;;;;;;;;;
06056393700000;;ENERGOTECH LUBLIN SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•               ;Katarzyna Kalinowska                              ;ZT;2647   ;al. Wincentego Witosa 16B                                     ;Lublin                       ;4222 ;28;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.energotech.info.pl;1.0;1;2;2;2;2;1;2;2;2;2;2
07284943000000;;FIRMA HAN. - US£.  SP. C.  NORBERT PEPLI—SKI, S£AWOMIR POPOWSKI         ;Eløbieta BurliÒska                                ;ZT;14123  ;UL. MYåLIWSKA 13                                              ;SZCZYRK                      ;5610 ;13;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.greeupub.szczyrk.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
08044810300000;;INA-MET SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA KOMANDYTOWA      ;Katarzyna Kalinowska                              ;ZT;3350   ;ul. Racula-Ruciana 2                                          ;Zielona GÛra                 ;2561 ;17;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.bfk.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
06069551500000;;KERS KARINA G”èDè                                                       ;Katarzyna Kalinowska                              ;ZT;2661   ;ul. Miko≥aja Kopernika 38B                                    ;LubartÛw                     ;4531 ;15;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.biurorachinkowelublin.pl;21.0;;;;;;;;;;;
02231299800000;;FONBUD SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                          ;Marcelina Jeøak                                   ;ZT;450    ;ul. Redycka 71                                                ;Wroc≥aw                      ;9512 ;127;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.fonbud.com.pl;1.0;1;2;2;1;2;1;2;2;2;2;2
08013620800000;;MONOSUISSE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                      ;Katarzyna Kalinowska                              ;ZT;3297   ;ul. Franciszka Walczaka 25                                    ;GorzÛw Wielkopolski          ;2060 ;161;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.monosuisse.com;1.0;2;2;2;2;2;2;2;2;2;2;2
01735430200000;;PGP HUB SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                         ;Ewelina Buler                                     ;ZT;7941   ;ul. Domaniewska 44A                                           ;Warszawa                     ;7311 ;510;0;2;0;0;0;0;0;0;0;2;1;2;1;https://www.publicisgroupe.sharepoint.com/;21.0;;;;;;;;;;;
09135277400000;;Transport CiÍøarowy Witold StrzeliÒski                                  ;Mirela ZieliÒska                                  ;ZT;1646   ;ul. Przemys≥owa 2                                             ;Mogilno                      ;4941 ;24;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.strzelinski.pl;21.0;;;;;;;;;;;
05002336700000;;"KICEL GRZEGORZ - TRANSPORT MI DZYNARODOWY I KRAJOWY ""BOJAR""             ";Eløbieta Zborowska                                ;ZT;12033  ;ul. Sportowa 10                                               ;HajnÛwka                     ;4941 ;13;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.bojar.pl;1.0;1;2;2;1;2;1;2;2;2;2;2
08014429000000;;DOZ IT SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                          ;Jolanta Czokaj≥o                                  ;ZT;3880   ;ul. Kinga C. Gillette 11                                      ;£Ûdü                         ;7022 ;85;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.bssce.com;1.0;1;2;2;1;2;1;2;2;1;2;2
07042940900000;;"W£ODZIMIERZ MERES FIRMA HANDLOWO-US£UGOWA ""SANIT-BUD""                   ";RÛøa Ka≥doÒska                                    ;ZT;5116   ;ul. GÛrnikÛw 3 m 22                                           ;KrakÛw                       ;4322 ;17;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.sanitbud.krakow.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
08010670400000;;RECARO AIRCRAFT SEATING POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•  ;Katarzyna Kalinowska                              ;ZT;3293   ;ul. Doøynkowa 1                                               ;åwiebodzin                   ;3030 ;402;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.recaro-as.com;1.0;2;1;2;1;2;2;2;2;1;1;1
08049173100000;;LOGIC SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                           ;Magdalena Adamczyk                                ;ZT;17308  ;ul. Plac Wolnoúci 15                                          ;ZbπszyÒ                      ;4941Z;13;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.logicspzoo.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
08103625900000;;PRO METAL FORM K.MENCEL, R.KACZMARCZYK SP”£KA JAWNA                     ;Katarzyna Kalinowska                              ;ZT;3380   ;ul. Cmentarna 4                                               ;Strzelce KrajeÒskie          ;2511Z;47;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.prometalform.eu;1.0;1;2;2;2;2;2;2;2;2;2;2
06004314900000;;"""MIDO-NOSTER"" C.C. EIM WR”BEL                                           ";Katarzyna Kalinowska                              ;ZT;2571   ;UL. MI DZYRZECKA 106F                                         ;£UK”W                        ;1520 ;26;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.midonoster.pl;1.0;1;1;2;1;2;1;2;2;1;1;1
05010646100000;;AS Wies≥aw Wojciula, skrÛt: ASW WOJCIULA                                ;Eløbieta Zborowska                                ;ZT;12049  ;ul. gen. W≥adys≥awa Andersa 71                                ;Bia≥ystok                    ;4520 ;18;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.citroen-wojciula.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
06057804000000;;AGNIESZKA PAPROCKA WADAN                                                ;Katarzyna Kalinowska                              ;ZT;2649   ;ul. Okopowa 5                                                 ;Lublin                       ;5610 ;10;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.optimumbr.pl;1.0;1;2;2;2;2;2;2;2;2;2;2
08060812700000;;Ogrody24 S≥awomir Brudz                                                 ;Katarzyna Kalinowska                              ;ZT;3368   ;RadwanÛw 34                                                   ;KoøuchÛw                     ;8130 ;11;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gruda.zgora.pl;1.0;1;2;2;2;2;2;2;2;2;2;2
10041046200000;;TOMASZ KAPUSTA TONEX                                                    ;Jolanta Czokaj≥o                                  ;ZT;3961   ;ul. Warszawska 36                                             ;£owicz                       ;4671 ;29;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.rongo.pl;1.0;2;2;2;1;2;2;2;2;2;2;2
01613926300000;;GST SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                             ;Ewelina Buler                                     ;ZT;7805   ;Aleje Jerozolimskie 212A                                      ;Warszawa                     ;8010 ;2143;0;2;0;0;0;0;0;0;0;1;2;2;2;https://www.solidsecurity.pl;1.0;1;2;2;1;2;1;2;2;1;2;2
10046624400000;;"""ATID"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA KOMANDYTOWA       ";Eløbieta BurliÒska                                ;ZT;14142  ;ul. Piotra Niedurnego 83                                      ;Ruda ålπska                  ;4773 ;19;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.drmax.com.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
02200091600000;;DTA CUSTOMS SERVICE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•             ;Marcelina Jeøak                                   ;ZT;399    ;ul. Lipowa 1                                                  ;Kπty Wroc≥awskie             ;5229 ;57;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.dta.com.pl;1.0;1;1;2;2;2;1;2;2;2;2;2
09055258300000;;MANUSAD SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                         ;Mirela ZieliÒska                                  ;ZT;1607   ;ul. BohaterÛw 3                                               ;Sadki                        ;2221 ;25;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.manusad.com;1.0;2;2;2;2;2;2;2;2;2;2;2
10055108500000;;DAVID COLLECTION SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                ;Jolanta Czokaj≥o                                  ;ZT;3996   ;Gospodarz 48b                                                 ;RzgÛw                        ;4641 ;11;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.lta-bc.pl;1.0;1;1;2;1;2;2;2;2;2;2;2
09004740200000;;LABORATORIUM FARMACEUTYCZNE AVENA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI;Mirela ZieliÒska                                  ;ZT;1554   ;ul. Leúna 42                                                  ;Osielsko                     ;2120 ;55;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.avena.com.pl;1.0;1;2;2;2;2;2;2;2;2;2;2
05050790600000;;KANRO LTD SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                       ;Eløbieta Zborowska                                ;ZT;12109  ;ul. Szosa KnyszyÒska 89                                       ;Bia≥ystok                    ;4674 ;33;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.kanro.pl;1.0;1;1;2;2;2;1;2;2;1;2;2
09001603400000;;"""SYSTEM"" - W£ADYS£AW K DZIORA, URSZULA K DZIORA - SP”£KA JAWNA          ";Mirela ZieliÒska                                  ;ZT;1548   ;ul. ChemikÛw 1                                                ;åwiecie                      ;2511 ;95;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.system-s.c.com;21.0;;;;;;;;;;;
09143366200000;;"""BIN - MONTAØ SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•""                  ";Mirela ZieliÒska                                  ;ZT;1659   ;ul. KruszyÒska 13-21                                          ;Bia≥e B≥ota                  ;4399 ;44;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.binbiuro.pl;1.0;1;1;2;2;2;1;2;2;2;2;2
09155384000000;;WOJCIECH SZPILA                                                         ;Mirela ZieliÒska                                  ;ZT;1669   ;ul. úw. TrÛjcy 32                                             ;Bydgoszcz                    ;5610 ;462;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gutowskiaccount.pl;21.0;;;;;;;;;;;
02234986600000;;CHOMAR LOGISTIC RAFA£ CHOMA I WSP”LNICY SP”£KA JAWNA                    ;Marcelina Jeøak                                   ;ZT;460    ;ul. Przemys≥owa 3                                             ;Kπty Wroc≥awskie             ;6820 ;18;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.felton.pl;1.0;1;2;2;2;2;1;2;2;1;1;1
07231652000000;;"""GAT 1"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•                         ";Eløbieta BurliÒska                                ;ZT;14078  ;ul. GÛrecka 32                                                ;SkoczÛw                      ;4941 ;18;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.gatskoczow.ig.pl;0.0;;;;;;;;;;;
07239176300000;;ØYWIEC SPRZEDAØ I DYSTRYBUCJA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•   ;Eløbieta BurliÒska                                ;ZT;14085  ;ul. Sukiennicza 8                                             ;Bielsko-Bia≥a                ;7311 ;595;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.grupazywiec.pl;1.0;1;2;2;1;2;1;2;2;2;2;2
02241144700000;;THE DUST SP”£KA AKCYJNA                                                 ;Marcelina Jeøak                                   ;ZT;471    ;wyspa S≥odowa 7                                               ;Wroc≥aw                      ;5821 ;13;0;2;0;0;0;0;0;0;0;2;2;2;2;https://www.black-canyon.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
09004154600000;;"ZAK£AD INSTALACYJNO - åLUSARSKI ""MARKO"" MAREK GRAJEWSKI                 ";Mirela ZieliÒska                                  ;ZT;1552   ;ul. Bydgoska 1                                                ;åwiecie                      ;4322 ;16;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.marko-swiecie.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
09151338400000;;"CZAPLEWSKA ANNA PRZEDSI BIORSTWO HANDLOWO-US£UGOWE ""SUKCES""             ";Mirela ZieliÒska                                  ;ZT;1667   ;ul. ToruÒska 64 m 22                                          ;Solec Kujawski               ;4711 ;13;0;2;0;0;0;0;0;0;0;2;1;2;2;https://www.biuro-banicka.pl;1.0;2;2;2;2;2;2;2;2;2;2;2
